seed,dataset,model,region,n,M,r2,mae
2024,"12,110 American",ET,all,11563,8,-0.20185812232937517,0.14673362235821155
2024,"12,110 American",ET,deep OTM,2524,8,0.02797519554382155,0.1383316818213154
2024,"12,110 American",ET,OTM,1812,8,-0.4124371830529454,0.1347029179078367
2024,"12,110 American",ET,ATM,1934,8,-0.8694235542446203,0.13332426575284392
2024,"12,110 American",ET,ITM,1586,8,-0.5716058010973903,0.13784341117465307
2024,"12,110 American",ET,deep ITM,3707,8,-0.5220286723153613,0.16913440600836255
2024,"12,110 American",RF,all,11563,8,-0.4752712689439045,0.1562628710789069
2024,"12,110 American",RF,deep OTM,2524,8,-0.12923452345162945,0.14649780354079175
2024,"12,110 American",RF,OTM,1812,8,-1.0785888611137708,0.15064692039842523
2024,"12,110 American",RF,ATM,1934,8,-1.7302897764595153,0.14743659994359312
2024,"12,110 American",RF,ITM,1586,8,-1.001692608161218,0.14961911623832935
2024,"12,110 American",RF,deep ITM,3707,8,-0.6370075068707046,0.1731040193530068
13,2019 in-sample,Dynamic ET,all,893,8,0.5303391757204293,0.08421778802911542
13,2019 in-sample,Dynamic ET,OTM,274,8,0.6339832760510073,0.07430655310218996
13,2019 in-sample,Dynamic ET,ATM,300,8,0.6211583295454302,0.06384660269999998
13,2019 in-sample,Dynamic ET,ITM,305,8,0.4182830381816073,0.11286496321311489
13,2019 in-sample,ET-aug,all,893,8,0.5798998044034622,0.0792590839081748
13,2019 in-sample,ET-aug,OTM,274,8,0.6962772469730594,0.06938934354014613
13,2019 in-sample,ET-aug,ATM,300,8,0.6546747163408493,0.05976390086666673
13,2019 in-sample,ET-aug,ITM,305,8,0.4711352261928251,0.10689830150819687
13,2019 in-sample,ET,all,893,8,0.6801111966032752,0.06906035078387471
13,2019 in-sample,ET,OTM,274,8,0.7604490611550732,0.060392707262773855
13,2019 in-sample,ET,ATM,300,8,0.746315407915744,0.052567869100000095
13,2019 in-sample,ET,ITM,305,8,0.5986102909065472,0.09236939259016415
13,2019 in-sample,RF,all,893,8,0.6473933473267044,0.07125690451061395
13,2019 in-sample,RF,OTM,274,8,0.7682811952541146,0.05857240539609289
13,2019 in-sample,RF,ATM,300,8,0.6260462566735743,0.05604758918319357
13,2019 in-sample,RF,ITM,305,8,0.5920566231339578,0.09653433292702042
